task_id,task_status

TASK0001,task_completed
TASK0001,task_completed
TASK0001,task_completed
TASK0004,pending_task
TASK0004,run_task
TASK0004,pending_task
TASK0004,run_task
TASK0004,task_started
TASK0004,run_task
TASK0004,run_task
TASK0004,run_task
TASK0004,executing_task
TASK0004,executing_task
TASK0004,executing_task
TASK0004,task_cancelled
TASK0007,task_cancelled
TASK0008,pending_task
TASK0008,run_task
TASK0008,task_cancelled
TASK0010,pending_task
TASK0010,run_task
TASK0004,pending_task
TASK0004,run_task
TASK0004,task_cancelled
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_cancelled
TASK0007,pending_task
TASK0007,run_task
TASK0007,task_completed
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_started
TASK0006,run_task
TASK0006,executing_task
TASK0006,task_cancelled
TASK0007,pending_task
TASK0007,run_task
TASK0007,task_started
TASK0007,run_task
TASK0007,task_started
TASK0007,run_task
TASK0007,run_task
TASK0004,pending_task
TASK0004,run_task
TASK0004,executing_task
TASK0004,task_cancelled
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_started
TASK0006,run_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_started
TASK0006,run_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,run_task
TASK0006,run_task
TASK0006,run_task
TASK0006,run_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,run_task
TASK0006,run_task
TASK0006,run_task
TASK0006,run_task
TASK0004,task_cancelled
TASK0005,task_cancelled
TASK0006,task_cancelled
TASK0007,task_cancelled
TASK0008,task_cancelled
TASK0009,task_cancelled
TASK0010,task_cancelled
TASK0011,task_cancelled
TASK0004,pending_task
TASK0004,run_task
TASK0003,task_cancelled
TASK0004,task_cancelled
TASK0006,task_cancelled
TASK0007,pending_task
TASK0007,run_task
TASK0007,task_cancelled
TASK0008,pending_task
TASK0008,run_task
TASK0008,pending_task
TASK0008,run_task
TASK0008,task_cancelled
TASK0009,pending_task
TASK0009,run_task
TASK0009,task_cancelled
TASK0010,pending_task
TASK0010,run_task
TASK0010,task_cancelled
TASK0011,pending_task
TASK0011,run_task
TASK0005,task_cancelled
TASK0007,pending_task
TASK0007,run_task
TASK0007,task_cancelled
TASK0011,pending_task
TASK0011,run_task
TASK0011,task_cancelled
TASK0013,pending_task
TASK0013,run_task
TASK0013,task_cancelled
TASK0015,pending_task
TASK0015,run_task
TASK0015,task_cancelled
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_cancelled
TASK0010,pending_task
TASK0010,run_task
TASK0005,pending_task
TASK0005,run_task
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_cancelled
TASK0005,pending_task
TASK0005,run_task
TASK0005,task_cancelled
TASK0005,pending_task
TASK0005,run_task
TASK0005,executing_task
TASK0005,executing_task
TASK0005,task_cancelled
TASK0006,pending_task
TASK0006,run_task
TASK0006,task_started
TASK0006,run_task
TASK0006,run_task
TASK0006,executing_task
TASK0006,executing_task
TASK0006,task_completed
TASK0006,task_completed
TASK0007,pending_task
TASK0007,run_task
TASK0007,task_started
TASK0007,run_task
TASK0007,run_task
TASK0007,executing_task
TASK0007,executing_task
TASK0007,executing_task
TASK0007,task_completed
TASK0007,task_completed
TASK0008,pending_task
TASK0008,run_task
TASK0008,task_started
TASK0008,run_task
TASK0008,run_task
TASK0008,executing_task
TASK0008,executing_task
TASK0008,executing_task
TASK0008,task_completed
TASK0008,task_completed
TASK0008,task_completed
TASK0008,executing_task
TASK0008,executing_task
TASK0008,task_completed
TASK0008,task_completed
TASK0008,task_completed
TASK0009,pending_task
TASK0009,run_task
TASK0009,task_started
TASK0009,run_task
TASK0009,run_task
TASK0009,run_task
TASK0009,executing_task
TASK0009,executing_task
TASK0009,executing_task
TASK0009,task_completed
TASK0009,task_completed
TASK0009,task_completed
TASK0009,task_completed
TASK0010,pending_task
TASK0010,run_task
TASK0010,task_started
TASK0010,run_task
TASK0010,executing_task
TASK0010,task_completed
TASK0010,pending_task
TASK0010,run_task
TASK0010,task_started
TASK0010,executing_task
TASK0010,task_completed
TASK0009,pending_task
TASK0009,run_task
TASK0009,task_started
TASK0009,executing_task
TASK0009,task_completed
TASK0010,pending_task
TASK0010,run_task
TASK0010,task_started
TASK0010,run_task
TASK0010,executing_task
TASK0010,task_completed
TASK0011,pending_task
TASK0011,run_task
TASK0011,task_started
TASK0011,run_task
TASK0011,executing_task
TASK0011,task_cancelled
TASK0012,pending_task
TASK0012,run_task
TASK0012,task_cancelled
TASK0013,pending_task
TASK0013,run_task
TASK0013,task_started
TASK0013,run_task
TASK0013,executing_task
TASK0013,task_completed
TASK0014,pending_task
TASK0015,pending_task
TASK0015,run_task
TASK0014,task_cancelled
TASK0015,task_cancelled
TASK0016,pending_task
TASK0016,task_cancelled
TASK0017,pending_task
TASK0017,run_task
TASK0017,run_task
TASK0017,task_cancelled
TASK0018,pending_task
TASK0018,run_task
TASK0018,task_completed
TASK0008,pending_task
TASK0008,run_task
TASK0008,task_started
TASK0008,run_task
TASK0008,executing_task
TASK0008,task_completed
TASK0009,pending_task
TASK0010,pending_task
TASK0009,task_cancelled
TASK0011,pending_task
TASK0010,task_cancelled
