timestamp,right_drive,left_drive,right_motor,left_motor,current_location
2026-03-17T14:58:03.251155,0,0,0.0,0.0,1
2026-03-17T15:16:46.210039,0,0,0.0,0.0,1
2026-03-18T10:42:04.083543,0,0,0.0,0.0,1
2026-03-18T10:49:20.511095,0,0,0.0,0.0,1
2026-03-18T12:45:40.888171,0,0,0.0,0.0,14
2026-03-18T13:37:15.199532,0,0,0.0,0.0,14
2026-03-18T17:56:27.188804,0,0,0.0,0.0,1
2026-03-22T12:43:40.029583,0,0,0.0,0.0,11
2026-03-27T10:29:25.799454,0,0,0.0,0.0,1
2026-03-28T13:12:39.880372,0,0,0.0,0.0,1
2026-03-28T14:58:36.308443,0,0,0.0,0.0,2
2026-03-30T11:40:34.571159,0,0,0.0,0.0,2
2026-03-30T13:45:56.193708,0,0,0.0,0.0,15
2026-03-30T13:47:11.052201,0,0,0.0,0.0,1
2026-03-30T16:01:29.893738,0,0,0.0,0.0,2
2026-03-30T17:53:22.989721,0,0,0.0,0.0,1
2026-03-30T18:03:38.030160,0,0,0.0,0.0,15
2026-03-31T13:27:05.486495,0,0,0.0,0.0,1
2026-04-01T17:09:46.884027,0,0,0.0,0.0,2
2026-04-02T10:55:03.013512,0,0,0.0,0.0,2
2026-04-02T13:52:37.812439,0,0,0.0,0.0,12
2026-04-02T16:35:26.580325,0,0,0.0,0.0,1
2026-04-02T17:01:16.871547,0,0,0.0,0.0,12
2026-04-02T17:23:22.015661,0,0,0.0,0.0,12
2026-04-02T19:29:27.757678,0,0,0.0,0.0,12
2026-04-02T19:53:10.796087,0,0,0.0,0.0,2
2026-04-06T12:35:53.302160,0,0,0.0,0.0,2
2026-04-06T15:30:05.609706,0,0,0.0,0.0,11
2026-04-06T15:32:43.646162,0,0,0.0,0.0,11
2026-04-06T15:33:05.213887,0,0,0.0,0.0,11
2026-04-06T15:52:50.723843,0,0,0.0,0.0,4
